#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=22 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:41 out:43 type:b dur:2 cpbdur:2 q:37.72 aq:39.45 tex:10059 mv:8055 misc:2622 imb:42 pmb:772 smb:2786 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:38.29 aq:40.12 tex:8642 mv:8847 misc:2583 imb:29 pmb:765 smb:2806 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:39.39 aq:36.81 tex:94189 mv:26909 misc:2166 imb:1061 pmb:1805 smb:734 d:t ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:38.98 aq:39.44 tex:21348 mv:13199 misc:3213 imb:101 pmb:1188 smb:2311 d:t ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:38.78 aq:41.07 tex:7788 mv:7257 misc:2563 imb:34 pmb:705 smb:2861 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:39.18 aq:41.64 tex:6926 mv:8519 misc:2635 imb:28 pmb:750 smb:2822 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:40.85 aq:38.45 tex:70909 mv:24511 misc:2596 imb:1074 pmb:1583 smb:943 d:t ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:40.12 aq:40.72 tex:16728 mv:11778 misc:3030 imb:115 pmb:1028 smb:2457 d:t ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:39.75 aq:41.36 tex:5216 mv:6213 misc:2403 imb:33 pmb:614 smb:2953 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:40.49 aq:42.40 tex:5405 mv:6981 misc:2446 imb:29 pmb:635 smb:2936 d:- ref:0 ;
